description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Australia from: 27 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,27/04/2022,30/04/2022,8900,AUS,WF 1005881,0,3,126.0996672,-17.07877203
Green Forest fires in Australia from: 24 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,24/04/2022,30/04/2022,7540,AUS,WF 1005868,0,6,125.3961255,-19.44578902
Green Forest fires in Australia from: 26 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,26/04/2022,30/04/2022,8922,AUS,WF 1005860,0,4,125.9867825,-17.33657752
Green Forest fires in Australia from: 26 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,26/04/2022,30/04/2022,9048,AUS,WF 1005863,0,4,131.4102292,-14.35382303
Green Forest fires in Australia from: 27 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,27/04/2022,30/04/2022,9599,AUS,WF 1005926,0,3,125.4302988,-16.85661344
Green Forest fires in Australia from: 27 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,27/04/2022,30/04/2022,18798,AUS,WF 1005927,0,3,125.2515307,-16.80053982
Green Forest fires in Australia from: 24 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,24/04/2022,30/04/2022,7581,AUS,WF 1005913,0,6,131.2964502,-15.14709277
Green Forest fires in Australia from: 27 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,27/04/2022,30/04/2022,5334,AUS,WF 1005899,0,3,126.351098,-16.26667771
Green Forest fires in Australia from: 26 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,26/04/2022,30/04/2022,8914,AUS,WF 1005907,0,4,126.2374823,-17.15055036
Green Forest fires in Australia from: 26 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,26/05/2022,31/05/2022,43886,AUS,WF 1006623,0,5,132.5996792,-17.46877064
Green Forest fires in Australia from: 26 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,26/05/2022,31/05/2022,5390,AUS,WF 1006624,0,5,134.1058761,-13.83242543
Green Forest fires in Australia from: 26 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,26/05/2022,31/05/2022,5675,AUS,WF 1006625,0,5,130.917659,-13.79611269
Green Forest fires in Australia from: 23 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,23/05/2022,31/05/2022,124830,AUS,WF 1006636,0,8,131.8904633,-15.638041
Green Forest fires in Australia from: 31 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,31/05/2022,31/05/2022,11989,AUS,WF 1006620,0,0,130.6442701,-18.62350051
Green Forest fires in Australia from: 24 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,24/05/2022,31/05/2022,5975,AUS,WF 1006632,0,7,135.0302285,-13.35211057
Green Forest fires in Australia from: 24 May 2022 to: 31 May 2022.,Green,1,0.5,Australia,24/05/2022,31/05/2022,8416,AUS,WF 1006633,0,7,129.875072,-14.57893835
Green Forest fires in Australia from: 24 May 2022 to: 30 May 2022.,Green,1,0.5,Australia,24/05/2022,30/05/2022,9064,AUS,WF 1006629,0,6,133.8689568,-13.29400602
Green Forest fires in Australia from: 16 May 2022 to: 29 May 2022.,Green,1,0.5,Australia,16/05/2022,29/05/2022,7528,AUS,WF 1006346,0,13,133.9687255,-12.0698994
Green Forest fires in Australia from: 26 May 2022 to: 29 May 2022.,Green,1,0.5,Australia,26/05/2022,29/05/2022,39121,AUS,WF 1006304,0,3,132.5903375,-17.46901594
Green Forest fires in Australia from: 12 May 2022 to: 29 May 2022.,Green,1,0.5,Australia,12/05/2022,29/05/2022,87038,AUS,WF 1006326,0,17,128.4328767,-19.65727989
Green Forest fires in Australia from: 24 May 2022 to: 29 May 2022.,Green,1,0.5,Australia,24/05/2022,29/05/2022,15529,AUS,WF 1006630,0,5,129.8350746,-14.45822987
Green Forest fires in Australia from: 27 Jun 2022 to: 05 Jul 2022.,Green,1,0.5,Australia,27/06/2022,5/07/2022,5304,AUS,WF 1007034,0,8,131.9768019,-11.27291991
Green Forest fires in Australia from: 27 Jun 2022 to: 05 Jul 2022.,Green,1,0.5,Australia,27/06/2022,5/07/2022,7587,AUS,WF 1006812,0,8,126.1197695,-14.28810777
Green Forest fires in Australia from: 22 Jul 2022 to: 10 Aug 2022.,Green,1,0.5,Australia,22/07/2022,10/08/2022,38663,AUS,WF 1008237,0,19,142.3751621,-13.23227651
Green Forest fires in Australia from: 25 Jul 2022 to: 09 Aug 2022.,Green,1,0.5,Australia,25/07/2022,9/08/2022,13632,AUS,WF 1007698,0,15,142.0006489,-13.28403784
Green Forest fires in Australia from: 21 Jul 2022 to: 06 Aug 2022.,Green,1,0.5,Australia,21/07/2022,6/08/2022,34721,AUS,WF 1008135,0,16,144.2961998,-16.16565442
Green Forest fires in Australia from: 31 Oct 2022 to: 19 Nov 2022.,Green,1,0.5,Australia,31/10/2022,19/11/2022,14696,AUS,WF 1009827,0,19,144.4772639,-16.94253733
Green Forest fires in Australia from: 31 Oct 2022 to: 17 Nov 2022.,Green,1,0.5,Australia,31/10/2022,17/11/2022,16637,AUS,WF 1009812,0,17,142.3042157,-17.10262631
Green Forest fires in Australia from: 28 Oct 2022 to: 16 Nov 2022.,Green,1,0.5,Australia,28/10/2022,16/11/2022,97048,AUS,WF 1009859,0,19,143.092124,-16.51713099
Green Forest fires in Australia from: 29 Oct 2022 to: 15 Nov 2022.,Green,1,0.5,Australia,29/10/2022,15/11/2022,22765,AUS,WF 1009844,0,17,142.3878293,-11.0273509
Green Forest fires in Australia from: 31 Oct 2022 to: 14 Nov 2022.,Green,1,0.5,Australia,31/10/2022,14/11/2022,9994,AUS,WF 1009822,0,14,144.1819695,-16.73904719
Green Forest fires in Australia from: 31 Oct 2022 to: 14 Nov 2022.,Green,1,0.5,Australia,31/10/2022,14/11/2022,67343,AUS,WF 1009823,0,14,143.7126799,-16.79218864
Green Forest fires in Australia from: 31 Oct 2022 to: 14 Nov 2022.,Green,1,0.5,Australia,31/10/2022,14/11/2022,103432,AUS,WF 1009811,0,14,130.0696285,-16.35534852
Green Forest fires in Australia from: 31 Oct 2022 to: 14 Nov 2022.,Green,1,0.5,Australia,31/10/2022,14/11/2022,16208,AUS,WF 1009580,0,14,144.2912594,-17.52133727
Green Forest fires in Australia from: 25 Oct 2022 to: 13 Nov 2022.,Green,1,0.5,Australia,25/10/2022,13/11/2022,154242,AUS,WF 1009646,0,19,129.9828372,-24.01000128
Green Forest fires in Australia from: 25 Oct 2022 to: 12 Nov 2022.,Green,1,0.5,Australia,25/10/2022,12/11/2022,72053,AUS,WF 1009642,0,18,130.8983422,-15.80798958
Green Forest fires in Australia from: 26 Oct 2022 to: 12 Nov 2022.,Green,1,0.5,Australia,26/10/2022,12/11/2022,76396,AUS,WF 1009914,0,17,135.1978167,-16.00298983
Green Forest fires in Australia from: 27 Feb 2023 to: 16 Mar 2023.,Green,1,0.5,Australia,27/02/2023,16/03/2023,26156,AUS,WF 1012530,0,17,132.7143308,-23.54960526
Green Forest fires in Australia from: 30 Mar 2023 to: 15 Apr 2023.,Green,1,0.5,Australia,30/03/2023,15/04/2023,9541,AUS,WF 1013431,0,16,146.9412535,-25.00785802
Green Forest fires in Australia from: 29 Apr 2023 to: 18 May 2023.,Green,1,0.5,Australia,29/04/2023,18/05/2023,8110,AUS,WF 1014249,0,19,126.8200619,-16.08403728
Green Forest fires in Australia from: 29 Apr 2023 to: 18 May 2023.,Green,1,0.5,Australia,29/04/2023,18/05/2023,33877,AUS,WF 1014003,0,19,124.9677962,-18.65763398
Green Forest fires in Australia from: 29 Apr 2023 to: 16 May 2023.,Green,1,0.5,Australia,29/04/2023,16/05/2023,24315,AUS,WF 1013964,0,17,127.4231178,-17.48625769
Green Forest fires in Australia from: 29 Apr 2023 to: 13 May 2023.,Green,1,0.5,Australia,29/04/2023,13/05/2023,13152,AUS,WF 1014090,0,14,124.7666449,-15.4144253
Green Forest fires in Australia from: 30 Apr 2023 to: 12 May 2023.,Green,1,0.5,Australia,30/04/2023,12/05/2023,7633,AUS,WF 1013959,0,12,126.0247985,-15.3519948
Green Forest fires in Australia from: 24 Apr 2023 to: 12 May 2023.,Green,1,0.5,Australia,24/04/2023,12/05/2023,14821,AUS,WF 1013979,0,18,125.3718167,-16.46644003
Green Forest fires in Australia from: 29 Apr 2023 to: 11 May 2023.,Green,1,0.5,Australia,29/04/2023,11/05/2023,5562,AUS,WF 1014028,0,12,127.7948473,-15.82629194
Green Forest fires in Australia from: 27 Apr 2023 to: 11 May 2023.,Green,1,0.5,Australia,27/04/2023,11/05/2023,15444,AUS,WF 1014188,0,14,130.3704619,-16.90315911
Green Forest fires in Australia from: 20 Apr 2023 to: 09 May 2023.,Green,1,0.5,Australia,20/04/2023,9/05/2023,19794,AUS,WF 1013822,0,19,126.2675209,-16.80778685
Green Forest fires in Australia from: 30 Apr 2023 to: 09 May 2023.,Green,1,0.5,Australia,30/04/2023,9/05/2023,7666,AUS,WF 1014001,0,9,128.2815298,-16.47774982
Green Forest fires in Australia from: 27 Apr 2023 to: 09 May 2023.,Green,1,0.5,Australia,27/04/2023,9/05/2023,15022,AUS,WF 1014162,0,12,130.3699679,-16.9036846
Green Forest fires in Australia from: 23 Apr 2023 to: 09 May 2023.,Green,1,0.5,Australia,23/04/2023,9/05/2023,7304,AUS,WF 1013942,1,16,125.9804721,-16.77571849
Green Forest fires in Australia from: 19 Apr 2023 to: 08 May 2023.,Green,1,0.5,Australia,19/04/2023,8/05/2023,6228,AUS,WF 1013929,0,19,124.9496955,-15.92208482
Green Forest fires in Australia from: 18 Apr 2023 to: 07 May 2023.,Green,1,0.5,Australia,18/04/2023,7/05/2023,12231,AUS,WF 1013609,0,19,124.0934455,-16.34719131
Green Forest fires in Australia from: 21 Apr 2023 to: 06 May 2023.,Green,1,0.5,Australia,21/04/2023,6/05/2023,8751,AUS,WF 1013927,0,15,126.5491209,-17.43141588
Green Forest fires in Australia from: 23 Apr 2023 to: 05 May 2023.,Green,1,0.5,Australia,23/04/2023,5/05/2023,13133,AUS,WF 1013890,0,12,137.301332,-18.46789951
Green Forest fires in Australia from: 23 Apr 2023 to: 05 May 2023.,Green,1,0.5,Australia,23/04/2023,5/05/2023,5817,AUS,WF 1013981,0,12,137.7235211,-17.69213641
Green Forest fires in Australia from: 21 Apr 2023 to: 05 May 2023.,Green,1,0.5,Australia,21/04/2023,5/05/2023,5308,AUS,WF 1014010,4,14,151.1269251,-23.54173728
Green Forest fires in Australia from: 29 May 2023 to: 16 Jun 2023.,Green,1,0.5,Australia,29/05/2023,16/06/2023,91755,AUS,WF 1014643,0,18,132.5183569,-19.73188623
Green Forest fires in Australia from: 23 May 2023 to: 16 Jun 2023.,Green,1,0.5,Australia,23/05/2023,16/06/2023,56173,AUS,WF 1014453,0,24,127.4153382,-17.17260143
Green Forest fires in Australia from: 27 May 2023 to: 15 Jun 2023.,Green,1,0.5,Australia,27/05/2023,15/06/2023,6460,AUS,WF 1014666,0,19,132.0370181,-11.32104186
Green Forest fires in Australia from: 26 May 2023 to: 14 Jun 2023.,Green,1,0.5,Australia,26/05/2023,14/06/2023,16471,AUS,WF 1014462,0,19,143.1223959,-15.19158253
Green Forest fires in Australia from: 29 May 2023 to: 13 Jun 2023.,Green,1,0.5,Australia,29/05/2023,13/06/2023,36027,AUS,WF 1014527,0,15,132.4481237,-19.34135815
Green Forest fires in Australia from: 30 May 2023 to: 12 Jun 2023.,Green,1,0.5,Australia,30/05/2023,12/06/2023,16224,AUS,WF 1014551,0,13,133.3341666,-18.87652717
Green Forest fires in Australia from: 24 May 2023 to: 12 Jun 2023.,Green,1,0.5,Australia,24/05/2023,12/06/2023,7259,AUS,WF 1014714,0,19,144.1922892,-16.28924846
Green Forest fires in Australia from: 28 May 2023 to: 11 Jun 2023.,Green,1,0.5,Australia,28/05/2023,11/06/2023,6347,AUS,WF 1014954,0,14,129.8936082,-13.98508612
Green Forest fires in Australia from: 27 May 2023 to: 10 Jun 2023.,Green,1,0.5,Australia,27/05/2023,10/06/2023,22168,AUS,WF 1014488,0,14,133.021962,-20.61901927
Green Forest fires in Australia from: 25 May 2023 to: 10 Jun 2023.,Green,1,0.5,Australia,25/05/2023,10/06/2023,13761,AUS,WF 1014964,0,16,132.7215479,-14.08860934
Green Forest fires in Australia from: 30 May 2023 to: 08 Jun 2023.,Green,1,0.5,Australia,30/05/2023,8/06/2023,10595,AUS,WF 1014598,0,9,127.3149063,-16.47957471
Green Forest fires in Australia from: 31 May 2023 to: 08 Jun 2023.,Green,1,0.5,Australia,31/05/2023,8/06/2023,5994,AUS,WF 1014577,0,8,136.7297185,-16.81133179
Green Forest fires in Australia from: 27 May 2023 to: 08 Jun 2023.,Green,1,0.5,Australia,27/05/2023,8/06/2023,21498,AUS,WF 1014482,0,12,131.865877,-20.18612168
Green Forest fires in Australia from: 24 May 2023 to: 08 Jun 2023.,Green,1,0.5,Australia,24/05/2023,8/06/2023,57711,AUS,WF 1014450,0,15,122.3579484,-20.0005202
Green Forest fires in Australia from: 20 May 2023 to: 08 Jun 2023.,Green,1,0.5,Australia,20/05/2023,8/06/2023,26536,AUS,WF 1014371,0,19,137.3201433,-16.4071843
Green Forest fires in Australia from: 27 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,27/05/2023,7/06/2023,6485,AUS,WF 1014571,0,11,130.4464183,-14.79806648
Green Forest fires in Australia from: 30 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,30/05/2023,7/06/2023,8503,AUS,WF 1014579,0,8,132.0406478,-18.72853098
Green Forest fires in Australia from: 31 May 2023 to: 07 Jun 2023.,Green,1,0.5,Australia,31/05/2023,7/06/2023,11996,AUS,WF 1014935,0,7,126.6093187,-14.94370125
Green Forest fires in Australia from: 18 May 2023 to: 06 Jun 2023.,Green,1,0.5,Australia,18/05/2023,6/06/2023,48684,AUS,WF 1014332,0,19,131.6255995,-19.08718534
Green Forest fires in Australia from: 27 Jun 2023 to: 13 Jul 2023.,Green,1,0.5,Australia,27/06/2023,13/07/2023,6660,AUS,WF 1015650,0,16,142.6120961,-12.23865764
Green Forest fires in Australia from: 30 Jun 2023 to: 13 Jul 2023.,Green,1,0.5,Australia,30/06/2023,13/07/2023,6208,AUS,WF 1015701,0,13,142.1090192,-13.91437837
Green Forest fires in Australia from: 28 Jul 2023 to: 16 Aug 2023.,Green,1,0.5,Australia,28/07/2023,16/08/2023,31580,AUS,WF 1016031,0,19,121.879514,-18.9015041
Green Forest fires in Australia from: 28 Jul 2023 to: 15 Aug 2023.,Green,1,0.5,Australia,28/07/2023,15/08/2023,8841,AUS,WF 1016057,0,18,130.3303381,-11.42014034
Green Forest fires in Australia from: 28 Jul 2023 to: 14 Aug 2023.,Green,1,0.5,Australia,28/07/2023,14/08/2023,11455,AUS,WF 1016215,1,17,130.785207,-11.41065469
Green Forest fires in Australia from: 31 Jul 2023 to: 11 Aug 2023.,Green,1,0.5,Australia,31/07/2023,11/08/2023,13351,AUS,WF 1016177,0,11,133.5468839,-19.18396958
Green Forest fires in Australia from: 28 Jul 2023 to: 10 Aug 2023.,Green,1,0.5,Australia,28/07/2023,10/08/2023,6575,AUS,WF 1016152,0,13,131.9370966,-12.53860595
Green Forest fires in Australia from: 31 Aug 2023 to: 14 Sep 2023.,Green,1,0.5,Australia,31/08/2023,14/09/2023,14871,AUS,WF 1017026,0,14,135.7999888,-16.85337968
